Year,Reporting Period,Eligibility Group,Number of Enrollees
2022,2022-05,MAGI-Child,"2,985,930"
2022,2022-05,MAGI-Adult,"6,171,482"
2022,2022-05,Non-MAGI-Child,"924,054"
2022,2022-05,Non-MAGI-Adult,"2,253,368"
2022,2022-05,CHIP,"1,291,149"
2022,2022-05,Non-CMSPI,"1,156,270"
2022,2022-06,MAGI-Child,"2,997,183"
2022,2022-06,MAGI-Adult,"6,206,022"
2022,2022-06,Non-MAGI-Child,"925,409"
2022,2022-06,Non-MAGI-Adult,"2,269,510"
2022,2022-06,CHIP,"1,290,078"
2022,2022-06,Non-CMSPI,"1,167,807"
2022,2022-07,MAGI-Child,"3,011,657"
2022,2022-07,MAGI-Adult,"6,246,298"
2022,2022-07,Non-MAGI-Child,"920,633"
2022,2022-07,Non-MAGI-Adult,"2,275,874"
2022,2022-07,CHIP,"1,289,851"
2022,2022-07,Non-CMSPI,"1,186,461"
2022,2022-08,MAGI-Child,"3,025,061"
2022,2022-08,MAGI-Adult,"6,296,106"
2022,2022-08,Non-MAGI-Child,"926,710"
2022,2022-08,Non-MAGI-Adult,"2,282,785"
2022,2022-08,CHIP,"1,290,162"
2022,2022-08,Non-CMSPI,"1,193,172"
2022,2022-09,MAGI-Child,"3,033,241"
2022,2022-09,MAGI-Adult,"6,340,395"
2022,2022-09,Non-MAGI-Child,"931,305"
2022,2022-09,Non-MAGI-Adult,"2,290,194"
2022,2022-09,CHIP,"1,290,309"
2022,2022-09,Non-CMSPI,"1,379,808"
2022,2022-10,MAGI-Child,"3,034,223"
2022,2022-10,MAGI-Adult,"6,386,173"
2022,2022-10,Non-MAGI-Child,"932,532"
2022,2022-10,Non-MAGI-Adult,"2,296,411"
2022,2022-10,CHIP,"1,290,410"
2022,2022-10,Non-CMSPI,"1,395,307"
2022,2022-11,MAGI-Child,"3,040,214"
2022,2022-11,MAGI-Adult,"6,438,251"
2022,2022-11,Non-MAGI-Child,"935,686"
2022,2022-11,Non-MAGI-Adult,"2,303,420"
2022,2022-11,CHIP,"1,291,945"
2022,2022-11,Non-CMSPI,"1,419,551"
2022,2022-12,MAGI-Child,"3,047,291"
2022,2022-12,MAGI-Adult,"6,490,615"
2022,2022-12,Non-MAGI-Child,"939,047"
2022,2022-12,Non-MAGI-Adult,"2,307,886"
2022,2022-12,CHIP,"1,293,168"
2022,2022-12,Non-CMSPI,"1,462,123"
2023,2023-01,MAGI-Child,"3,062,083"
2023,2023-01,MAGI-Adult,"6,557,346"
2023,2023-01,Non-MAGI-Child,"940,932"
2023,2023-01,Non-MAGI-Adult,"2,320,329"
2023,2023-01,CHIP,"1,295,928"
2023,2023-01,Non-CMSPI,"1,492,521"
2023,2023-02,MAGI-Child,"3,063,891"
2023,2023-02,MAGI-Adult,"6,590,832"
2023,2023-02,Non-MAGI-Child,"945,088"
2023,2023-02,Non-MAGI-Adult,"2,322,937"
2023,2023-02,CHIP,"1,296,054"
2023,2023-02,Non-CMSPI,"1,525,125"
2023,2023-03,MAGI-Child,"3,069,153"
2023,2023-03,MAGI-Adult,"6,638,622"
2023,2023-03,Non-MAGI-Child,"949,414"
2023,2023-03,Non-MAGI-Adult,"2,329,897"
2023,2023-03,CHIP,"1,298,557"
2023,2023-03,Non-CMSPI,"1,559,935"
2023,2023 -04,MAGI-Child,"3,068,464"
2023,2023 -04,MAGI-Adult,"6,684,151"
2023,2023 -04,Non-MAGI-Child,"950,655"
2023,2023 -04,Non-MAGI-Adult,"2,336,708"
2023,2023 -04,CHIP,"1,304,898"
2023,2023 -04,Non-CMSPI,"1,591,913"
2023,2023 -05,MAGI-Child,"3,072,221"
2023,2023 -05,MAGI-Adult,"6,735,770"
2023,2023 -05,Non-MAGI-Child,"957,484"
2023,2023 -05,Non-MAGI-Adult,"2,334,144"
2023,2023 -05,CHIP,"1,302,322"
2023,2023 -05,Non-CMSPI,"1,617,205"
2023,2023 -06,MAGI-Child,"3,075,761"
2023,2023 -06,MAGI-Adult,"6,781,755"
2023,2023 -06,Non-MAGI-Child,"962,146"
2023,2023 -06,Non-MAGI-Adult,"2,340,901"
2023,2023 -06,CHIP,"1,301,997"
2023,2023 -06,Non-CMSPI,"1,157,895"
2023,2023-07,MAGI-Child,"3,064,393"
2023,2023-07,MAGI-Adult,"6,741,863"
2023,2023-07,Non-MAGI-Child,"959,993"
2023,2023-07,Non-MAGI-Adult,"2,337,912"
2023,2023-07,CHIP,"1,295,716"
2023,2023-07,Non-CMSPI,"1,151,901"
2023,2023-08,MAGI-Child,"3,062,696"
2023,2023-08,MAGI-Adult,"6,741,865"
2023,2023-08,Non-MAGI-Child,"961,168"
2023,2023-08,Non-MAGI-Adult,"2,332,191"
2023,2023-08,CHIP,"1,299,553"
2023,2023-08,Non-CMSPI,"1,157,721"
2023,2023-09,MAGI-Child,"3,018,255"
2023,2023-09,MAGI-Adult,"6,616,582"
2023,2023-09,Non-MAGI-Child,"965,878"
2023,2023-09,Non-MAGI-Adult,"2,328,903"
2023,2023-09,CHIP,"1,290,312"
2023,2023-09,Non-CMSPI,"1,127,601"
2023,2023-10,MAGI-Child,"2,980,121"
2023,2023-10,MAGI-Adult,"6,527,959"
2023,2023-10,Non-MAGI-Child,"967,279"
2023,2023-10,Non-MAGI-Adult,"2,325,491"
2023,2023-10,CHIP,"1,284,914"
2023,2023-10,Non-CMSPI,"1,114,561"
2023,2023-11,MAGI-Child,"2,952,517"
2023,2023-11,MAGI-Adult,"6,447,190"
2023,2023-11,Non-MAGI-Child,"969,146"
2023,2023-11,Non-MAGI-Adult,"2,326,393"
2023,2023-11,CHIP,"1,281,440"
2023,2023-11,Non-CMSPI,"1,107,131"
2023,2023-12,MAGI-Child,"2,926,281"
2023,2023-12,MAGI-Adult,"6,307,965"
2023,2023-12,Non-MAGI-Child,"970,555"
2023,2023-12,Non-MAGI-Adult,"2,324,514"
2023,2023-12,CHIP,"1,276,313"
2023,2023-12,Non-CMSPI,"1,171,143"
2024,2024-01,MAGI-Child,"2,926,763"
2024,2024-01,MAGI-Adult,"6,332,029"
2024,2024-01,Non-MAGI-Child,"973,560"
2024,2024-01,Non-MAGI-Adult,"2,338,644"
2024,2024-01,CHIP,"1,265,948"
2024,2024-01,Non-CMSPI,"1,155,084"
2024,2024-02,MAGI-Child,"2,929,056"
2024,2024-02,MAGI-Adult,"6,320,789"
2024,2024-02,Non-MAGI-Child,"973,199"
2024,2024-02,Non-MAGI-Adult,"2,352,583"
2024,2024-02,CHIP,"1,263,939"
2024,2024-02,Non-CMSPI,"1,175,171"
2024,2024-03,MAGI-Child,"2,912,744"
2024,2024-03,MAGI-Adult,"6,282,493"
2024,2024-03,Non-MAGI-Child,"974,613"
2024,2024-03,Non-MAGI-Adult,"2,361,232"
2024,2024-03,CHIP,"1,259,829"
2024,2024-03,Non-CMSPI,"1,189,336"
2024,2024-04,MAGI-Child,"2,894,597"
2024,2024-04,MAGI-Adult,"6,222,965"
2024,2024-04,Non-MAGI-Child,"978,732"
2024,2024-04,Non-MAGI-Adult,"2,370,305"
2024,2024-04,CHIP,"1,251,557"
2024,2024-04,Non-CMSPI,"1,207,437"
2024,2024-05,MAGI-Child,"2,878,947"
2024,2024-05,MAGI-Adult,"6,170,279"
2024,2024-05,Non-MAGI-Child,"981,214"
2024,2024-05,Non-MAGI-Adult,"2,383,075"
2024,2024-05,CHIP,"1,248,542"
2024,2024-05,Non-CMSPI,"1,218,729"
2024,2024-06,MAGI-Child,"2,851,417"
2024,2024-06,MAGI-Adult,"6,105,467"
2024,2024-06,Non-MAGI-Child,"980,282"
2024,2024-06,Non-MAGI-Adult,"2,390,631"
2024,2024-06,CHIP,"1,241,686"
2024,2024-06,Non-CMSPI,"1,226,906"
2024,2024-07,MAGI-Child,"2,844,590"
2024,2024-07,MAGI-Adult,"6,086,184"
